ticket,symbol,profit,signal_conf,target_win,is_buy,hold_min,sl_distance,tp_distance,rr_ratio,dollar_risk,m1_scalp,m1_range_aligned,m1_has_pullback,h4_aligned,conqueror_bull,conqueror_bear,conqueror_bonus,channel_breakout,channel_bonus,ema50_bonus,model_m1_scalp,model_silver_ar,model_turtle_soup,model_fx_london,model_slingshot,model_ict,eu_london_breakout,eu_ny_reversion,eu_tight_range,eu_z_score,eu_asian_range_pips,kz_Asian,kz_London,kz_London_NY,kz_London_PM,kz_NY_Open,kz_NY_PM2,kz_Other,asset_Commodity,asset_Forex,asset_Index,regime_HIGH,regime_NORMAL,regime_UNKNOWN,hour_sin,hour_cos,dow_sin,dow_cos
8590873293,XAGUSD,27.6,0.87,1,0,4.116666666666666,0.32799999999998875,0.44299999999999784,1.3506097560976007,16.399999999999437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.49999999999999994,0.8660254037844387,0.0,1.0
8590897062,XAUUSD,-11.43,0.8999999999999999,0,1,5.85,10.739999999999782,15.229999999999563,1.4180633147113475,10.739999999999782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.7071067811865476,0.7071067811865476,0.0,1.0
8590897071,XAGUSD,-19.8,0.8999999999999999,0,1,5.85,0.3889999999999958,0.5829999999999984,1.4987146529563102,19.44999999999979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.7071067811865476,0.7071067811865476,0.0,1.0
8590922206,XAUUSD,-8.71,0.84,0,0,11.25,8.449999999999818,12.489999999999782,1.4781065088757457,8.449999999999818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.7071067811865476,0.7071067811865476,0.0,1.0
8590922209,XAGUSD,-38.35,0.6849999999999999,0,0,66.03333333333333,0.7659999999999911,0.5250000000000057,0.6853785900783443,38.29999999999956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,0.7071067811865476,0.7071067811865476,0.0,1.0
8590999759,XAUUSD,-7.2,0.9199999999999999,0,0,2.433333333333333,6.960000000000036,14.650000000000546,2.1048850574713316,6.960000000000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.9659258262890683,0.25881904510252074,0.0,1.0
8591040396,XAUUSD,-11.42,0.9199999999999999,0,0,0.5,11.420000000000073,16.30999999999949,1.428196147110279,11.420000000000073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.0,1.0
8591041308,XAGUSD,-23.75,0.9199999999999999,0,0,6.316666666666666,0.4450000000000003,0.7430000000000021,1.6696629213483183,22.250000000000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.0,1.0
8591094227,XAUUSD,-24.1,0.9199999999999999,0,0,0.85,23.8100000000004,33.909999999999854,1.4241915161696466,23.8100000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.0,1.0
8591094236,XAGUSD,-27.2,0.9199999999999999,0,0,0.6,0.5420000000000016,0.8789999999999978,1.6217712177121684,27.100000000000083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.0,6.123233995736766e-17,0.0,1.0
8591131636,XAGUSD,-23.05,0.67,0,0,3.466666666666667,0.8200000000000003,2.459000000000003,2.998780487804881,41.00000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,True,False,False,True,False,False,0.9659258262890683,-0.25881904510252063,0.0,1.0
8591185921,XAGUSD,-20.35,0.95,0,1,2.7,0.4029999999999916,0.6260000000000048,1.5533498759305653,20.14999999999958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.8660254037844387,-0.4999999999999998,0.0,1.0
8591218418,XAGUSD,-8.95,0.8999999999999999,0,0,3.2333333333333334,0.2710000000000008,0.44700000000000273,1.6494464944649498,13.550000000000042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.8660254037844387,-0.4999999999999998,0.0,1.0
8591260545,XAUUSD,13.18,0.99,1,0,0.9,15.269999999999527,13.13000000000011,0.8598559266536029,15.269999999999527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.7071067811865476,-0.7071067811865475,0.0,1.0
8591260825,XAUUSD,17.28,0.99,1,0,0.9333333333333333,11.579999999999927,17.279999999999745,1.4922279792745987,11.579999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.7071067811865476,-0.7071067811865475,0.0,1.0
8591291564,XAGUSD,-14.3,0.99,0,1,28.6,0.26500000000000057,0.372000000000007,1.4037735849056838,13.250000000000028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.49999999999999994,-0.8660254037844387,0.0,1.0
8591350282,XAUUSD,57.69,0.89,1,1,1.5666666666666667,40.38000000000011,56.789999999999964,1.4063893016344677,40.38000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.258819045102521,-0.9659258262890682,0.0,1.0
8591350289,XAGUSD,-53.0,0.95,0,1,8.233333333333333,1.007000000000005,1.4849999999999994,1.4746772591856923,50.35000000000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.258819045102521,-0.9659258262890682,0.0,1.0
8591398958,XAUUSD,43.13,0.99,1,0,15.5,28.0,42.23999999999978,1.5085714285714207,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,0.258819045102521,-0.9659258262890682,0.0,1.0
8591463743,XAUUSD,33.73,0.94,1,1,4.3,20.900000000000546,33.69999999999982,1.612440191387509,20.900000000000546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.2246467991473532e-16,-1.0,0.0,1.0
8591463999,XAGUSD,28.15,0.99,1,1,4.116666666666666,0.3719999999999999,0.554000000000002,1.489247311827963,18.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,1.2246467991473532e-16,-1.0,0.0,1.0
8591563300,XAUUSD,-21.05,0.94,0,1,20.683333333333334,20.480000000000473,30.719999999999345,1.4999999999999334,20.480000000000473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0,1.0
8591563307,XAGUSD,-19.4,0.94,0,1,10.35,0.3719999999999999,0.6310000000000002,1.696236559139786,18.599999999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.4999999999999997,-0.8660254037844388,0.0,1.0
8591634992,XAUUSD,-7.07,0.99,0,0,3.216666666666667,17.0600000000004,28.670000000000073,1.6805392731535405,17.0600000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.7071067811865471,-0.7071067811865479,0.0,1.0
8591634998,XAGUSD,-6.05,0.99,0,0,3.216666666666667,0.3260000000000076,0.5409999999999968,1.6595092024539393,16.30000000000038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,-0.7071067811865471,-0.7071067811865479,0.0,1.0
8591778879,XAUUSD,17.19,0.99,1,1,17.3,11.63000000000011,17.100000000000364,1.4703353396388825,11.63000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.9659258262890683,-0.25881904510252063,0.0,1.0
8591863419,XAGUSD,16.35,0.99,1,1,17.933333333333334,0.2079999999999984,0.3130000000000024,1.5048076923077154,10.39999999999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.0,1.0
8591865573,XAUUSD,13.05,0.99,1,1,6.483333333333333,7.609999999999673,12.420000000000073,1.6320630749015252,7.609999999999673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.0,1.0
8591917996,XAGUSD,-9.6,0.8300000000000001,0,0,3.3,0.2190000000000083,0.36700000000000443,1.6757990867579475,10.950000000000413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.9659258262890684,0.2588190451025203,0.0,1.0
8591917840,XAUUSD,-10.58,0.99,0,0,17.466666666666665,10.510000000000218,15.409999999999854,1.4662226450998606,10.510000000000218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,-0.9659258262890684,0.2588190451025203,0.0,1.0
8591993504,XAGUSD,7.4,0.99,1,1,3.066666666666667,0.1530000000000058,0.14799999999999613,0.9673202614378466,7.65000000000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.8660254037844386,0.5000000000000001,0.0,1.0
8592035122,XAUUSD,-17.95,0.99,0,0,1.6833333333333333,17.56999999999971,26.480000000000473,1.5071143995447303,17.56999999999971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,True,False,False,-0.5000000000000004,0.8660254037844384,0.0,1.0
